Serial Number,Dialogue,Translated Dialogue
image1,Secured connection landline rings,"Secure line, landline ringing",20,Anillos fijos de conexión de conexión asegurada
image2,Doctor Finch picks the call and an AI generated voice gives him a twelve digit number that he notes down on a  paper,"Doctor Finch answered the call, greeted by an AI-generated voice rattling off a twelve-digit number. Hastily, he jotted down the sequence on a scrap of paper.",20,El doctor Finch elige la llamada y una voz generada por IA le da un número de doce dígitos que él señala en un documento
image3,It also gives date and time. And then gets disconnected abruptly.,"""Doctor Finch here,"" he said. The AI voice swiftly provided a twelve-digit number and date. Then, the line abruptly cut off, leaving him bewildered.




",20,También da fecha y hora.Y luego se desconecta abruptamente.
image4,"Finch reaches his hideout, with a sense of confusion on what the twelve digit number means.","At his hideout, Finch wrestled with the mysterious twelve-digit number and its attached date, his mind racing with possible meanings and implications.",20,"Finch alcanza su escondite, con una sensación de confusión sobre lo que significa el número de doce dígitos."
image5,"Finch sticks the number to his board, where there are several other twelve digit numbers with past dates.","Ethan Hunt, the Chief Defense Officer of the US Government, extended heartfelt congratulations to Dr. Finch for the successful completion of Project EYES.




",20,"Finch pega el número de su tabla, donde hay varios otros números de doce dígitos con fechas pasadas."
image6,Finch is perplexed and thinks how to decode what the number means.,"Baffled, Finch mused over decoding the twelve-digit number. Contemplating encryption methods and historical contexts, he resolved to crack the puzzle's code, driven by a fervent determination to uncover its meaning.",20,Finch está perplejo y piensa cómo decodificar lo que significa el número.
image7,He runs several complex algorthims such as pattern matching but fails to resolve decode the twelve digit number.,"Despite trying various complex algorithms, Finch failed to decode the twelve-digit number. Frustrated, he knew he needed a different approach to unravel the mystery.",20,"Ejecuta varios algorthims complejos, como la coincidencia de patrones, pero no puede resolver decodificar el número de doce dígitos."
image8,FLASHBACK: Finch is the chief scientist of project EYES where he is designated to build a machine.,"FLASHBACK: Finch, the chief scientist of Project EYES, was tasked with constructing a revolutionary machine.",20,"Flashback: Finch es el principal científico de Project Eyes, donde está designado para construir una máquina."
image9,"With all his expertise, he builds a complex algorithm to detect the terror attacks globally with the help of AI technology to forsee the future.","With his expertise, Finch devised a sophisticated algorithm harnessing AI technology to predict and detect global terrorist attacks, aiming to foresee future threats.",20,"Con toda su experiencia, construye un algoritmo complejo para detectar los ataques terroristas a nivel mundial con la ayuda de la tecnología de IA para evitar el futuro."
image10,!!!!!,,20,!
image11,Finch calls government Authorities to inform about the MACHINE,"Finch contacted government authorities to inform them about the completion of the MACHINE, emphasizing its potential to predict and prevent global terrorist attacks.",20,Finch llama a las autoridades gubernamentales a informar sobre la máquina
image12,"Ethan Hunt, the Chief Defense Oficer of US Govt congratutales Dr.Finch for succesfully building project EYES.","Ethan Hunt, the Chief Defense Officer of the US Government, extended heartfelt congratulations to Dr. Finch for the successful completion of Project EYES.",20,"Ethan Hunt, la principal defensa del gobierno del gobierno de los Estados Unidos felicita al Dr. Finch por construir con éxito los ojos del proyecto."
image13,"Dr. Finch: Officer Hunt, but I found an issue with the machine's result. ","Dr. Finch: Officer Hunt, there's a problem with the machine's results.",20,"Dr. Finch: Oficial Hunt, pero encontré un problema con el resultado de la máquina."
image14,"Dr. Finch: If you can see this result, the AI was primarily built to forsee terror attacks but starts to identify the violence among common people.","Dr. Finch: Officer Hunt, there seems to be an issue with the machine's results. It was designed to forecast terror attacks, but it's now identifying violence among ordinary citizens.",20,"Dr. Finch: Si puede ver este resultado, la IA fue construida principalmente para evitar ataques terroristas, pero comienza a identificar la violencia entre la gente común."
image15,Ethan :  The sole purpose of the AI is to meet the needs of the government not that of every individual. We cannot stop every violence and thats not our concern.,"Dr. Finch: Ethan, the sole purpose of the AI is to meet the needs of the government, not those of every individual. We can't address every act of violence, and that's not our primary concern",20,Ethan: El único propósito de la IA es satisfacer las necesidades del gobierno no las de cada individuo.No podemos detener cada violencia y esa no es nuestra preocupación.
image16,"Ethan: Mark those data as ""IRRELEVANT"" 
Dr. Finch: But we are letting down the people who has every right to access this technology.",,20,"Ethan: Marque esos datos como ""irrelevantes""
Dr. Finch: Pero estamos decepcionando a las personas que tienen todo el derecho de acceder a esta tecnología."
