Date,AM12,AM1,AM2,AM3,AM4,AM5,AM6,AM7,AM8,AM9,AM10,AM11,PM12,PM1,PM2,PM3,PM4,PM5,PM6,PM7,PM8,PM9,PM10,PM11
4/1/98,,22259,21244,20651,20421,20713,22526,25772,28724,30075,30689,31295,31539,31227,31235,30887,30724,30863,30927,31376,31636,30637,28572,25724
4/2/98,23238,21291,20302,19802,19675,19941,21628,25032,27850,28978,29536,30140,30017,30118,30175,29989,29688,29028,28891,29438,30656,29696,28080,25350
4/3/98,22795,20905,19974,19215,19488,19928,21647,24848,27802,28554,28747,28963,28839,28642,28443,28122,27632,27335,27253,28024,29065,28384,26724,24807
4/4/98,22815,21063,20132,19540,19364,19383,20068,21049,22948,25420,26828,27542,27369,26691,26544,26120,25791,26064,26859,27833,28366,27784,26848,25269
4/5/98,23352,21501,20918,,20595,20506,20720,21330,22027,23319,24373,24849,24948,24760,24332,23767,23428,23372,23739,23905,25098,27354,26830,25191
4/6/98,23337,21760,20634,20535,20589,21296,23118,26955,29403,29992,29933,30229,29899,29417,29139,28726,28261,27991,27827,27485,28115,29916,29022,26733
4/7/98,24177,22323,21483,21211,21250,21819,23751,27478,29698,29946,29682,29542,29393,29202,29022,28749,28392,28129,27895,27495,28259,29718,28551,26175
4/8/98,23482,21698,20826,20279,20118,20503,22243,26100,28571,29019,29174,29500,29561,29400,29402,29057,29016,28828,28687,28256,28835,29720,28677,26024
4/9/98,23524,21604,20689,20255,20029,20606,22181,25422,28078,29536,30333,30890,31017,30733,30666,30726,30613,30705,30817,30781,30716,30754,29610,27321
4/10/98,24824,22712,21864,21245,21150,21188,22378,24540,26022,27560,28313,28324,27827,27127,26509,25910,25268,25125,25052,24951,25249,26871,26426,24953
4/11/98,23175,21595,20581,20201,20075,20245,21019,21880,23049,24656,25543,25574,25179,24547,23820,23196,22721,22680,22760,22887,23744,25516,24972,24014
4/12/98,22739,21092,21284,21144,21146,21141,21338,21402,21665,22078,21917,21821,21719,21871,21874,21670,21675,20659,20101,20300,21330,24047,23700,22536
4/13/98,20983,19735,19188,18904,19215,19951,21907,24974,27149,28213,28792,28972,28855,28816,28590,28411,28028,27770,27450,26968,27345,29062,28156,25414
4/14/98,22759,20884,20006,19616,19490,19900,21743,25266,27466,28494,28882,29347,29300,28941,29021,28926,28544,28490,28345,28045,28578,29642,28113,25669
4/15/98,23000,21124,20094,19691,19598,19828,21689,25010,27357,28511,29052,29776,29753,29300,29326,29350,29105,28871,28451,27914,28064,29545,28425,25737
4/16/98,23414,21293,20168,19712,19471,19836,21592,25064,27311,28584,29316,29588,29910,29985,29962,30120,29784,29447,29196,28735,28931,30143,29076,26343
4/17/98,24005,22872,20506,19938,19751,19966,21630,24874,27672,29396,29777,30242,30580,30349,30327,30145,29956,29623,29013,28335,28259,28735,27610,25342
4/18/98,23206,21064,19755,19079,18858,18867,19420,20363,21889,23984,25010,25485,25366,24826,24203,23523,23309,23305,23298,23475,24118,25653,24990,23532
4/19/98,21215,19831,18799,18126,17906,17760,18078,18765,19653,21366,23291,24370,24860,24907,24666,24281,24426,24769,25496,25932,26590,27253,26247,24238
4/20/98,22193,20590,19831,19498,19384,19963,21913,25671,28325,29246,29678,30093,29915,29558,29348,28931,28495,28371,28119,27587,27745,29669,28875,26037
4/21/98,23477,21703,20855,20459,20348,20863,22766,26279,28805,29039,28930,29385,29364,29151,29159,29079,28750,28436,28297,27536,27680,29488,28415,25778
4/22/98,23065,21065,20212,19778,19727,20072,22050,25674,28130,28763,28931,29267,29313,29137,29284,29175,28850,28556,28213,27607,27873,29436,28242,25652
4/23/98,22606,21090,20298,19872,19699,20044,21858,25428,28182,29035,29152,29545,29526,29200,29069,28826,28792,28698,28577,28204,28583,29702,28746,26204
4/24/98,23571,21695,20687,20161,20039,20460,22345,25498,28358,28911,28748,29060,29230,29091,28956,28941,28476,28102,27523,26594,26630,27524,27009,25170
4/25/98,23023,20441,19511,18926,18679,18765,19336,20267,21778,23810,24902,25318,25198,24765,24175,23766,23486,23482,23447,23340,23603,25244,24739,23136
4/26/98,21246,19615,18482,17947,17663,17628,17919,18473,19486,21233,22850,23927,24316,24481,24343,24004,24040,24389,25035,25441,26070,26810,25974,23995
4/27/98,22167,20497,19796,19515,19533,20019,21935,25582,28372,29297,29487,29607,29568,29114,29010,28623,28160,28030,27731,27307,27433,29375,28762,26158
